"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"11","HRA003620_BC-04",2,0.4,"orig.ident",0.00384615384615385
"12","HRA003620_BC-04",0,0.4,"orig.ident",0
"13","HRA003620_BC-04",0,0.4,"orig.ident",0
"0","HRA003620_BC-05",109,0.4,"orig.ident",0.0113600833767587
"1","HRA003620_BC-05",88,0.4,"orig.ident",0.0095094013399611
"2","HRA003620_BC-05",116,0.4,"orig.ident",0.0358245830759728
"3","HRA003620_BC-05",58,0.4,"orig.ident",0.0182389937106918
"4","HRA003620_BC-05",2,0.4,"orig.ident",0.000807102502017756
"5","HRA003620_BC-05",0,0.4,"orig.ident",0
"6","HRA003620_BC-05",26,0.4,"orig.ident",0.018664752333094
"7","HRA003620_BC-05",31,0.4,"orig.ident",0.03125
"8","HRA003620_BC-05",10,0.4,"orig.ident",0.0106157112526539
"9","HRA003620_BC-05",5,0.4,"orig.ident",0.00594530321046373
"10","HRA003620_BC-05",15,0.4,"orig.ident",0.0198412698412698
"11","HRA003620_BC-05",9,0.4,"orig.ident",0.0173076923076923
"12","HRA003620_BC-05",15,0.4,"orig.ident",0.0333333333333333
"13","HRA003620_BC-05",4,0.4,"orig.ident",0.0268456375838926
"0","HRA003620_BC-11",76,0.4,"orig.ident",0.00792079207920792
"1","HRA003620_BC-11",138,0.4,"orig.ident",0.0149124702831208
"2","HRA003620_BC-11",175,0.4,"orig.ident",0.0540457072266831
"3","HRA003620_BC-11",37,0.4,"orig.ident",0.0116352201257862
"4","HRA003620_BC-11",7,0.4,"orig.ident",0.00282485875706215
"5","HRA003620_BC-11",0,0.4,"orig.ident",0
"6","HRA003620_BC-11",25,0.4,"orig.ident",0.0179468772433597
"7","HRA003620_BC-11",25,0.4,"orig.ident",0.0252016129032258
"8","HRA003620_BC-11",14,0.4,"orig.ident",0.0148619957537155
"9","HRA003620_BC-11",10,0.4,"orig.ident",0.0118906064209275
"10","HRA003620_BC-11",19,0.4,"orig.ident",0.0251322751322751
"11","HRA003620_BC-11",9,0.4,"orig.ident",0.0173076923076923
"12","HRA003620_BC-11",4,0.4,"orig.ident",0.00888888888888889
"13","HRA003620_BC-11",6,0.4,"orig.ident",0.0402684563758389
"0","HRA003620_BC-24",76,0.4,"orig.ident",0.00792079207920792
"1","HRA003620_BC-24",184,0.4,"orig.ident",0.0198832937108278
"2","HRA003620_BC-24",85,0.4,"orig.ident",0.0262507720815318
"3","HRA003620_BC-24",13,0.4,"orig.ident",0.00408805031446541
"4","HRA003620_BC-24",1,0.4,"orig.ident",0.000403551251008878
"5","HRA003620_BC-24",0,0.4,"orig.ident",0
"6","HRA003620_BC-24",33,0.4,"orig.ident",0.0236898779612347
"7","HRA003620_BC-24",1,0.4,"orig.ident",0.00100806451612903
"8","HRA003620_BC-24",4,0.4,"orig.ident",0.00424628450106157
