"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"5","GSE326225_BC5",11,0.2,"specimen_orig_ident","orig.ident",0.0106075216972035
"6","GSE326225_BC5",9,0.2,"specimen_orig_ident","orig.ident",0.00883218842001963
"7","GSE326225_BC5",61,0.2,"specimen_orig_ident","orig.ident",0.089051094890511
"8","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC5",4,0.2,"specimen_orig_ident","orig.ident",0.0118694362017804
"10","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"11","GSE326225_BC5",3,0.2,"specimen_orig_ident","orig.ident",0.0123456790123457
"12","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC6",1,0.2,"specimen_orig_ident","orig.ident",9.36241924913398e-05
"1","GSE326225_BC6",15,0.2,"specimen_orig_ident","orig.ident",0.00377548452051347
"2","GSE326225_BC6",5,0.2,"specimen_orig_ident","orig.ident",0.00158428390367554
"3","GSE326225_BC6",13,0.2,"specimen_orig_ident","orig.ident",0.00417201540436457
"4","GSE326225_BC6",5,0.2,"specimen_orig_ident","orig.ident",0.00229779411764706
"5","GSE326225_BC6",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC6",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC6",3,0.2,"specimen_orig_ident","orig.ident",0.00437956204379562
"8","GSE326225_BC6",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC6",1,0.2,"specimen_orig_ident","orig.ident",0.0029673590504451
"10","GSE326225_BC6",3,0.2,"specimen_orig_ident","orig.ident",0.00900900900900901
"11","GSE326225_BC6",0,0.2,"specimen_orig_ident","orig.ident",0
"12","GSE326225_BC6",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC7",75,0.2,"specimen_orig_ident","orig.ident",0.00702181443685048
"1","GSE326225_BC7",99,0.2,"specimen_orig_ident","orig.ident",0.0249181978353889
"2","GSE326225_BC7",93,0.2,"specimen_orig_ident","orig.ident",0.029467680608365
"3","GSE326225_BC7",132,0.2,"specimen_orig_ident","orig.ident",0.0423620025673941
"4","GSE326225_BC7",58,0.2,"specimen_orig_ident","orig.ident",0.0266544117647059
"5","GSE326225_BC7",1,0.2,"specimen_orig_ident","orig.ident",0.000964320154291225
"6","GSE326225_BC7",7,0.2,"specimen_orig_ident","orig.ident",0.00686947988223749
"7","GSE326225_BC7",6,0.2,"specimen_orig_ident","orig.ident",0.00875912408759124
"8","GSE326225_BC7",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC7",8,0.2,"specimen_orig_ident","orig.ident",0.0237388724035608
"10","GSE326225_BC7",26,0.2,"specimen_orig_ident","orig.ident",0.0780780780780781
"11","GSE326225_BC7",0,0.2,"specimen_orig_ident","orig.ident",0
"12","GSE326225_BC7",4,0.2,"specimen_orig_ident","orig.ident",0.0193236714975845
"0","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"2","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"3","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC8",19,0.2,"specimen_orig_ident","orig.ident",0.0183220829315333
"6","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"10","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"11","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"12","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"0","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"1","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"3","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_BC-01",4,0.2,"specimen_orig_ident","orig.ident",0.00183823529411765
"5","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"7","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"8","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"9","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"10","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"11","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
